feature,importance
group_amount,0.20773639
people_amount,0.20630373
wait_duration,0.12893982
unit_group_count,0.068767905
group_days,0.055873927
area_heat,0.04441261
source_1_1,0.04011461
source_2_4,0.037249282
group_price,0.034383953
group_site_sum,0.031518623
source_1_3,0.025787966
source_1_2,0.020057306
order_date_weekend,0.017191976
source_2_1,0.017191976
sub_line_heat,0.015759312
source_2_3,0.015759312
group_site_ave,0.014326648
source_2_2,0.014326648
begin_date_weekday_3,0.0014326648
order_date_weekday_4,0.0014326648
begin_date_weekend,0.0014326648
begin_date_weekday_7,0.0
begin_date_weekday_6,0.0
begin_date_weekday_5,0.0
begin_date_weekday_4,0.0
order_date_weekday_7,0.0
begin_date_weekday_2,0.0
begin_date_weekday_1,0.0
order_date_weekday_6,0.0
order_date_weekday_5,0.0
group_order_heat,0.0
order_date_weekday_2,0.0
order_date_weekday_1,0.0
goback_n,0.0
back_n,0.0
go_n,0.0
order_date_weekday_3,0.0
